wavenumber_cm-1,raw_avg,denoised,normalized,snv
2.030723144531250000e+03,2.313682364004629619e+02,2.304450292491615642e+02,1.722572633522182622e-02,8.220646824214593307e-02
2.032186523437500000e+03,2.301243060076678262e+02,2.296871583207151275e+02,1.704535361203030064e-02,7.467539249931921808e-02
2.033649780273437500e+03,2.313211178249783018e+02,2.288667757547665076e+02,1.685010316512064454e-02,6.652312934955229018e-02
2.035112670898437500e+03,2.292873359962746065e+02,2.280001105981409637e+02,1.664383749569299173e-02,5.791094923651459586e-02
2.036575439453125000e+03,2.258011022497106524e+02,2.271031190955847023e+02,1.643035417825345137e-02,4.899741172918357923e-02
2.038037841796875000e+03,2.255670279043692119e+02,2.261802537245338272e+02,1.621071289915487074e-02,3.982676175575972782e-02
2.039500122070312500e+03,2.277485210277416172e+02,2.252433571074571717e+02,1.598773219382888799e-02,3.051668121095483729e-02
2.040962036132812500e+03,2.255685198748553262e+02,2.243117468230596785e+02,1.576600963178990261e-02,2.125913173748962895e-02
2.042423706054687500e+03,2.256088059036819971e+02,2.233986708302917066e+02,1.554869821751785758e-02,1.218576026698306794e-02
2.043885131835937500e+03,2.249469610143590899e+02,2.225156135955547256e+02,1.533853124556394491e-02,3.410689644221536962e-03
2.045348022460937500e+03,2.225936708803530166e+02,2.216679621225086407e+02,1.513679081883449393e-02,-5.012548676998531370e-03
2.046808837890625000e+03,2.208592241075303946e+02,2.208463690634752652e+02,1.494125227546156363e-02,-1.317684067596044603e-02
2.048269531250000000e+03,2.184102167200159101e+02,2.200471326062862545e+02,1.475103458687355637e-02,-2.111897180884014444e-02
2.049729980468750000e+03,2.195183642352068887e+02,2.192816029525019985e+02,1.456883909268830678e-02,-2.872615344047681207e-02
2.051190185546875000e+03,2.184694779007523096e+02,2.185562531192338440e+02,1.439620636621430014e-02,-3.593406224044503466e-02
2.052649902343750000e+03,2.181544867621527715e+02,2.178767973167067282e+02,1.423449638527951762e-02,-4.268591525481549992e-02
2.054109619140625000e+03,2.160164828830295107e+02,2.172501544288091679e+02,1.408535583915725836e-02,-4.891295850891460434e-02
2.055569091796875000e+03,2.164798357928240762e+02,2.166726188379810765e+02,1.394790279359548781e-02,-5.465201527366017609e-02
2.057028076171875000e+03,2.166248406304253535e+02,2.161440724112378291e+02,1.382210913303080942e-02,-5.990425945402932939e-02
2.058487060546875000e+03,2.147836145471643476e+02,2.156728762370641732e+02,1.370996479036898710e-02,-6.458660567452137458e-02
2.059945556640625000e+03,2.145267605251736143e+02,2.152595926907972057e+02,1.361160361052635333e-02,-6.869346552805979944e-02
2.061404052734375000e+03,2.151056117305049327e+02,2.148977882477582284e+02,1.352549441936433047e-02,-7.228876990291333016e-02
2.062862060546875000e+03,2.142064276801215215e+02,2.145789439136883061e+02,1.344960970251911185e-02,-7.545717330766467390e-02
2.064320068359375000e+03,2.141234255190248916e+02,2.142862714177486509e+02,1.337995386388691858e-02,-7.836550327789050530e-02
2.065775878906250000e+03,2.123286743164062500e+02,2.140071841016489884e+02,1.331353128805820574e-02,-8.113883530253662713e-02
2.067233154296875000e+03,2.120651352493851221e+02,2.137435860561652419e+02,1.325079514723626929e-02,-8.375824814935028950e-02
2.068690429687500000e+03,2.125276116265191035e+02,2.134976448716606114e+02,1.319226132633224621e-02,-8.620220215162573141e-02
2.070147216796875000e+03,2.140818018030237226e+02,2.132746293916341358e+02,1.313918380622113719e-02,-8.841834003059828584e-02
2.071603759765625000e+03,2.131601065176504619e+02,2.130825760343102502e+02,1.309347524852570548e-02,-9.032680270726443916e-02
2.073060058593750000e+03,2.115368471498842666e+02,2.129214156324003682e+02,1.305511919148217431e-02,-9.192827750722236402e-02
2.074516113281250000e+03,2.098968347620080976e+02,2.127970615875178169e+02,1.302552302032236077e-02,-9.316400208219341450e-02
2.075971923828125000e+03,2.112875275788483691e+02,2.127249049090836763e+02,1.300834978396099226e-02,-9.388103369040172452e-02
2.077427490234375000e+03,2.118833007812500000e+02,2.127123780162368689e+02,1.300536839268300916e-02,-9.400551528127759626e-02
2.078881347656250000e+03,2.103778290925202441e+02,2.127582817109589826e+02,1.301629343824261750e-02,-9.354936346326751806e-02
2.080336181640625000e+03,2.108334955286096601e+02,2.128558988754512313e+02,1.303952625154737761e-02,-9.257932723150694154e-02
2.081791015625000000e+03,2.120587853325737910e+02,2.129845527518094741e+02,1.307014577943381092e-02,-9.130087459386800053e-02
2.083245605468750000e+03,2.128161440248842666e+02,2.131258543718058149e+02,1.310377546099760968e-02,-8.989673945312844083e-02
2.084699951171875000e+03,2.130850474039713447e+02,2.132757958749455440e+02,1.313946142839074287e-02,-8.840674851304400339e-02
2.086154052734375000e+03,2.131267231128833828e+02,2.134229857848459346e+02,1.317449251861803512e-02,-8.694410056280266197e-02
2.087606201171875000e+03,2.133393407751012774e+02,2.135504185706499811e+02,1.320482142785126857e-02,-8.567778208298314213e-02
2.089059814453125000e+03,2.148346484148943887e+02,2.136473583121930346e+02,1.322789301499269210e-02,-8.471447750347203820e-02
